trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
324,False,"{'a': 0.65, 'e': 0.2583379633545705}",25,7,-44.30442346204822,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
325,False,"{'a': 0.65, 'e': 0.2577157543410662}",35,9,51.779618225890296,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.65, 'e': 0.2570945244400934}",20,0,18.032527917307437,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
327,False,"{'a': 0.65, 'e': 0.256474274615483}",25,17,16.205632423736365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.65, 'e': 0.25585500581769205}",20,0,-72.11211603528098,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
329,False,"{'a': 0.65, 'e': 0.25523671898382727}",20,2,4.93536065061649,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
330,False,"{'a': 0.65, 'e': 0.2546194150376707}",20,11,13.852968398459558,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.65, 'e': 0.2540030948897041}",25,15,16.990763857193492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.65, 'e': 0.253387759437135}",20,15,-4.5800371645298465,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.65, 'e': 0.2527734095639217}",25,0,12.784390540812566,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
334,False,"{'a': 0.65, 'e': 0.2521600461408001}",25,8,9.526707423919532,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
335,False,"{'a': 0.65, 'e': 0.2515476700253094}",25,9,-11.325722584330746,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
336,False,"{'a': 0.65, 'e': 0.25093628206181817}",25,12,2.342342781659015,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
337,False,"{'a': 0.65, 'e': 0.25032588308155257}",20,14,-1.519380333835472,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.65, 'e': 0.24971647390262164}",20,0,0.48669987832408435,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
339,False,"{'a': 0.65, 'e': 0.24910805533004632}",30,19,6.841329978967883,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
340,False,"{'a': 0.65, 'e': 0.24850062815578577}",20,0,-19.773920520425392,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
341,False,"{'a': 0.65, 'e': 0.24789419315876604}",30,10,14.3044751694086,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.65, 'e': 0.2472887511049079}",20,9,-45.44857815178897,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
343,False,"{'a': 0.65, 'e': 0.24668430274715514}",25,16,-25.575990574027188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
344,False,"{'a': 0.65, 'e': 0.24608084882550352}",25,5,26.14077215705313,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.65, 'e': 0.2454783900670292}",30,10,-14.26298748267024,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
346,False,"{'a': 0.65, 'e': 0.2448769271859188}",25,12,25.478244167007357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.65, 'e': 0.24427646088349764}",20,10,6.341630468024892,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.65, 'e': 0.2436769918482602}",25,5,19.100983872369774,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.65, 'e': 0.24307852075589986}",20,0,29.51688250364089,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
350,False,"{'a': 0.65, 'e': 0.24248104826933925}",25,10,7.867820427062589,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.65, 'e': 0.24188457503875982}",30,12,-66.16339679956278,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
352,False,"{'a': 0.65, 'e': 0.24128910170163353}",30,19,-11.63314857790109,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
353,False,"{'a': 0.65, 'e': 0.24069462888275317}",20,10,19.468910199628354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.65, 'e': 0.24010115719426361}",25,11,-7.593999439154923,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
355,False,"{'a': 0.65, 'e': 0.23950868723569274}",20,14,12.64755007158464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.65, 'e': 0.23891721959398382}",20,14,-0.2219598187458507,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.65, 'e': 0.2383267548435265}",25,12,22.2683829278245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.65, 'e': 0.23773729354618922}",25,13,4.7939491104304155,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.65, 'e': 0.23714883625135186}",20,10,-26.020021358257022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
360,False,"{'a': 0.65, 'e': 0.2365613834959368}",35,14,21.465621492607568,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.65, 'e': 0.23597493580444362}",30,0,31.563549257230893,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 0.65, 'e': 0.2353894936889802}",20,12,13.36708767149481,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.65, 'e': 0.23480505764929704}",20,4,-37.348425418857246,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
364,False,"{'a': 0.65, 'e': 0.23422162817281933}",20,9,20.866026017039452,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.65, 'e': 0.23363920573468222}",20,4,13.132946560315474,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.65, 'e': 0.23305779079776312}",25,19,12.178014337330868,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.65, 'e': 0.232477383812716}",20,5,16.361430880713975,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.65, 'e': 0.23189798521800586}",20,9,10.940841149901377,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.65, 'e': 0.23131959543994307}",20,3,27.87565993582097,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.65, 'e': 0.2307422148927174}",25,0,16.94693488948154,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
371,False,"{'a': 0.65, 'e': 0.23016584397843287}",35,18,19.71514365139412,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.65, 'e': 0.22959048308714347}",20,6,-4.734124872136541,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
373,False,"{'a': 0.65, 'e': 0.22901613259688725}",20,0,30.60958427182399,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
374,False,"{'a': 0.65, 'e': 0.22844279287372238}",30,0,-3.1637098062506253,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
375,False,"{'a': 0.65, 'e': 0.22787046427176227}",20,0,-6.011546623734218,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
376,False,"{'a': 0.65, 'e': 0.2272991471332112}",25,19,13.10422931175057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.65, 'e': 0.22672884178840025}",20,5,13.725451028965088,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
378,False,"{'a': 0.65, 'e': 0.22615954855582365}",20,3,-26.472880632430545,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
379,False,"{'a': 0.65, 'e': 0.22559126774217453}",20,15,7.9321863363980825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.65, 'e': 0.22502399964238184}",35,17,-15.401235539963572,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
381,False,"{'a': 0.65, 'e': 0.2244577445396463}",20,0,-38.60431529787911,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
382,False,"{'a': 0.65, 'e': 0.22389250270547745}",25,16,-2.123985418712491,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
383,False,"{'a': 0.65, 'e': 0.2233282743997307}",20,5,26.487706488583918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.65, 'e': 0.2227650598706441}",25,17,9.394100239283329,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.65, 'e': 0.22220285935487583}",25,13,-1.387246253634398,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
386,False,"{'a': 0.65, 'e': 0.22164167307754157}",20,7,16.38308086255128,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.65, 'e': 0.22108150125225157}",25,15,7.736042182037935,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
